id,classification
1001,3
1003,6
1005,1
1007,7
1009,8
1011,1
1013,3
1015,4
1017,4
1019,6
1021,5
1023,4
1025,4
1027,5
1029,6
1031,1
1033,6
1035,4
1037,7
1039,1
1041,2
1043,8
1045,3
1047,3
1049,6
1051,4
1053,5
1055,6
1057,8
1059,8
1061,1
1063,6
1065,5
1067,1
1069,4
1071,6
1073,7
1075,6
1077,6
1079,7
1081,1
1083,4
1085,3
1087,4
1089,5
1091,5
1093,5
1095,7
1097,6
1099,5
1101,1
1103,7
1105,7
1107,7
1109,2
1111,3
1113,1
1115,8
1117,7
1119,5
1121,5
1123,4
1125,8
1127,8
1129,6
1131,5
1133,7
2013,0
2016,0
2020,0
2050,1
2060,1
2068,0
2070,3
2090,0
2100,0
2105,0
2110,2
2122,1
2130,0
2150,0
2158,0
2164,3
2170,2
2180,0
2185,0
2188,0
2195,0
2198,0
2220,0
2230,0
2240,0
2261,2
2275,0
2282,0
2290,0
4001,2
4003,2
4005,2
4007,3
4009,1
4011,2
4012,0
4013,1
4015,5
4017,4
4019,1
4021,0
4023,0
4025,2
4027,0
5001,3
5003,3
5005,7
5007,7
5009,7
5011,2
5013,3
5015,8
5017,2
5019,4
5021,5
5023,5
5025,2
5027,3
5029,7
5031,5
5033,8
5035,4
5037,5
5039,4
5041,2
5043,3
5045,7
5047,8
5049,7
5051,7
5053,6
5055,6
5057,4
5059,6
5061,5
5063,6
5065,7
5067,6
5069,4
5071,7
5073,3
5075,6
5077,1
5079,2
5081,6
5083,7
5085,6
5087,7
5089,8
5091,4
5093,7
5095,1
5097,6
5099,4
5101,7
5103,4
5105,6
5107,2
5109,4
5111,6
5113,5
5115,7
5117,3
5119,6
5121,7
5123,3
5125,7
5127,7
5129,7
5131,8
5133,5
5135,7
5137,6
5139,5
5141,7
5143,6
5145,6
5147,5
5149,6
6001,0
6003,2
6005,1
6007,4
6009,0
6011,0
6013,0
6015,0
6017,1
6019,0
6021,3
6023,1
6025,0
6027,0
6029,0
6031,0
6033,3
6035,3
6037,0
6039,0
6041,0
6043,0
6045,1
6047,0
6049,4
6051,0
6053,0
6055,0
6057,0
6059,0
6061,0
6063,5
6065,0
6067,0
6069,0
6071,0
6073,0
6075,0
6077,0
6079,0
6081,0
6083,0
6085,0
6087,0
6089,3
6091,3
6093,2
6095,0
6097,0
6099,0
6101,0
6103,1
6105,2
6107,0
6109,2
6111,0
6113,0
6115,0
8001,1
8003,5
8005,1
8007,0
8009,4
8011,5
8013,1
8014,1
8015,1
8017,2
8019,3
8021,2
8023,5
8025,4
8027,4
8029,2
8031,1
8033,1
8035,3
8037,1
8041,5
8039,3
8043,2
8045,3
8047,4
8049,4
8051,1
8053,1
8055,5
8057,6
8059,1
8061,4
8063,2
8067,0
8065,1
8069,5
8071,6
8073,4
8075,3
8077,4
8079,0
8081,6
8083,0
8085,2
8087,3
8089,6
8091,0
8093,3
8095,2
8097,0
8099,4
8101,4
8103,5
8105,1
8107,3
8109,2
8111,1
8113,0
8115,2
8117,2
8119,4
8121,1
8123,1
8125,0
9001,0
9003,2
9005,5
9007,4
9009,2
9011,4
9013,5
9015,6
10001,6
10003,1
10005,5
11001,0
12001,1
12003,5
12005,2
12007,4
12009,5
12011,0
12013,1
12015,4
12017,7
12019,5
12021,0
12023,5
12027,2
12029,4
12031,3
12033,4
12035,5
12037,3
12039,0
12041,2
12043,4
12045,3
12047,2
12049,3
12051,3
12053,7
12055,5
12057,1
12059,2
12061,6
12063,1
12065,2
12067,3
12069,3
12071,1
12073,0
12075,5
12077,1
12079,0
12081,4
12083,4
12085,3
12086,0
12087,0
12089,6
12091,4
12093,6
12095,2
12097,3
12099,2
12101,7
12103,4
12105,5
12107,5
12109,1
12111,4
12113,3
12115,2
12117,3
12119,4
12121,2
12123,1
12125,1
12127,3
12129,2
12131,2
12133,3
13001,4
13003,4
13005,5
13007,0
13009,2
13011,6
13013,4
13015,3
13017,2
13019,0
13021,1
13023,1
13025,6
13027,0
13029,2
13031,1
13033,3
13035,5
13037,0
13039,5
13043,5
13045,4
13047,6
13049,6
13051,2
13053,0
13055,5
13057,4
13059,2
13061,2
13063,0
13065,4
13067,3
13069,4
13071,1
13073,0
13075,2
13077,2
13079,3
13081,0
13083,5
13085,6
13089,0
13087,0
13091,1
13093,0
13095,0
13097,2
13099,1
13101,2
13103,2
13105,6
13107,2
13109,4
13111,7
13113,1
13115,4
13117,2
13119,7
13121,0
13123,5
13125,1
13127,4
13129,5
13131,0
13133,3
13135,1
13137,5
13139,5
13141,4
13143,7
13145,2
13147,5
13149,5
13151,1
13153,0
13155,1
13157,4
13159,5
13161,5
13163,4
13165,1
13167,1
13169,2
13171,5
13173,1
13175,3
13177,0
13179,3
13181,4
13183,4
13185,1
13187,6
13193,1
13195,6
13197,0
13189,3
13191,5
13199,4
13201,1
13205,1
13207,2
13209,1
13211,6
13213,7
13215,1
13217,3
13219,2
13221,5
13223,4
13225,2
13227,5
13229,4
13231,3
13233,4
13235,0
13237,3
13239,1
13241,6
13243,0
13245,1
13247,2
13249,0
13251,1
13253,1
13255,3
13257,7
13259,1
13261,0
13263,4
13265,5
13267,4
13269,2
13271,1
13273,0
13275,0
13277,0
13279,2
13281,7
13283,1
13285,4
13287,1
13289,2
13291,6
13293,3
13295,5
13297,5
13299,7
13301,5
13303,2
13305,5
13307,0
13309,1
13311,7
13313,3
13315,0
13317,5
13319,3
13321,0
15001,0
15003,6
15005,3
15007,0
15009,3
16001,1
16003,3
16005,3
16007,6
16009,2
16011,4
16013,1
16015,1
16017,2
16019,6
16021,5
16023,3
16025,1
16027,1
16029,6
16031,3
16033,2
16035,4
16037,3
16039,1
16041,4
16043,2
16045,2
16047,0
16049,3
16051,2
16053,0
16055,2
16057,1
16059,3
16061,1
16063,0
16065,2
16067,0
16069,1
16071,3
16073,2
16075,0
16077,4
16079,4
16081,2
16083,1
16085,2
16087,2
17001,6
17003,5
17005,4
17007,6
17009,4
17011,6
17013,6
17015,4
17017,5
17019,5
17021,6
17023,6
17025,4
17027,4
17029,3
17031,0
17033,6
17035,4
17039,6
17037,5
17041,4
17043,1
17045,5
17047,5
17049,4
17051,5
17053,6
17055,7
17057,5
17059,7
17061,6
17063,6
17065,5
17067,3
17069,7
17071,4
17073,3
17075,6
17077,6
17079,4
17081,6
17083,7
17085,4
17087,7
17089,0
17091,4
17093,4
17095,6
17099,6
17097,3
17101,7
17103,7
17105,5
17107,5
17115,5
17117,6
17119,7
17121,6
17123,6
17125,6
17127,7
17109,3
17111,3
17113,6
17129,6
17131,3
17133,6
17135,7
17137,5
17139,4
17141,6
17143,6
17145,7
17147,5
17149,6
17151,7
17153,6
17155,5
17157,7
17159,5
17161,2
17163,4
17165,7
17167,7
17169,4
17171,5
17173,4
17175,5
17177,5
17179,7
17181,6
17183,7
17185,5
17187,4
17189,4
17191,5
17193,6
17195,5
17197,3
17199,7
17201,6
17203,6
18001,8
18003,7
18005,8
18007,7
18009,8
18011,8
18013,8
18015,7
18017,7
18019,8
18021,7
18023,8
18025,8
18027,6
18033,7
18029,8
18031,8
18035,8
18037,6
18039,7
18041,8
18043,8
18045,7
18047,8
18049,8
18051,5
18053,8
18055,8
18057,7
18059,8
18061,8
18063,7
18065,8
18067,6
18069,8
18071,8
18073,6
18075,8
18077,8
18079,8
18081,7
18083,6
18085,7
18087,5
18091,8
18089,4
18093,7
18095,8
18097,8
18099,7
18101,7
18103,7
18105,8
18107,8
18109,8
18111,6
18113,8
18115,8
18117,7
18119,8
18121,7
18123,7
18125,5
18127,7
18129,5
18131,8
18133,8
18135,8
18137,8
18139,8
18141,7
18143,8
18145,8
18147,5
18149,8
18151,7
18153,8
18155,8
18157,7
18159,8
18161,8
18163,6
18165,6
18167,7
18169,8
18171,6
18173,6
18175,8
18177,8
18179,8
18181,7
18183,7
19001,4
19003,4
19005,2
19007,6
19009,2
19011,1
19013,3
19015,5
19017,1
19019,2
19021,1
19023,2
19025,2
19027,3
19029,3
19031,3
19033,5
19035,2
19037,1
19039,6
19041,1
19043,2
19045,2
19047,3
19049,3
19051,4
19053,5
19055,2
19057,5
19059,2
