,Rank,State,Percentage,Number
0,01          ,Hawaii          , , 
1,02          ,New York          , , 
2,03          ,New Jersey          , , 
3,04          ,Minnesota          , , 
4,05          ,Pennsylvania          , , 
5,06          ,Michigan          , , 
6,07          ,Maryland          , , 
7,08          ,New Mexico          , , 
8,09          ,Massachusetts          , , 
9,10          ,Vermont          , , 
10,11          ,Illinois          , , 
11,12          ,Connecticut          , , 
12,13          ,Delaware          , , 
13,14          ,Ohio          , , 
14,15          ,Texas          , , 
15,16          ,Kentucky          , , 
16,17          ,Arizona          , , 
17,18          ,Tennessee          , , 
18,19          ,Iowa          , , 
19,20          ,South Dakota          , , 
20,21          ,California          , , 
21,22          ,Nebraska          , , 
22,23          ,North Dakota          , , 
23,24          ,Wisconsin          , , 
24,25          ,Florida          , , 
25,26          ,Rhode Island          , , 
26,27          ,West Virginia          , , 
27,28          ,New Hampshire          , , 
28,29          ,Virginia          , , 
29,30          ,Arkansas          , , 
30,31          ,Maine          , , 
31,32          ,South Carolina          , , 
32,33          ,Louisiana          , , 
33,34          ,Montana          , , 
34,35          ,North Carolina          , , 
35,36          ,District of Columbia          , , 
36,37          ,Washington          , , 
37,38          ,Kansas          , , 
38,39          ,Indiana          , , 
39,40          ,Alabama          , , 
40,41          ,Oklahoma          , , 
41,42          ,Nevada          , , 
42,43          ,Georgia          , , 
43,44          ,Missouri          , , 
44,45          ,Mississippi          , , 
45,46          ,Wyoming          , , 
46,47          ,Idaho          , , 
47,48          ,Colorado          , , 
48,49          ,Oregon          , , 
49,50          ,Alaska          , , 
50,51          ,Utah          , , 
