,Rank,State,Percentage,Number
0,01          ,Texas          ,6.34          ,"1,308,000          "
1,02          ,Utah          ,6.42          ,"140,000          "
2,03          ,Florida          ,6.68          ,"1,109,000          "
3,04          ,West Virginia          ,6.76          ,"96,000          "
4,05          ,Georgia          ,6.77          ,"526,000          "
5,06          ,Mississippi          ,6.77          ,"150,000          "
6,07          ,Maryland          ,6.89          ,"317,000          "
7,08          ,North Carolina          ,6.95          ,"544,000          "
8,09          ,Tennessee          ,6.95          ,"357,000          "
9,10          ,New Jersey          ,7.01          ,"483,000          "
10,11          ,Hawaii          ,7.13          ,"76,000          "
11,12          ,Minnesota          ,7.24          ,"307,000          "
12,13          ,Wyoming          ,7.25          ,"31,000          "
13,14          ,Kansas          ,7.27          ,"156,000          "
14,15          ,Pennsylvania          ,7.30          ,"727,000          "
15,16          ,Virginia          ,7.32          ,"470,000          "
16,17          ,Arizona          ,7.36          ,"394,000          "
17,18          ,Indiana          ,7.39          ,"371,000          "
18,19          ,Kentucky          ,7.46          ,"251,000          "
19,20          ,Alabama          ,7.46          ,"277,000          "
20,21          ,Michigan          ,7.47          ,"576,000          "
21,22          ,New Mexico          ,7.53          ,"118,000          "
22,23          ,New York          ,7.57          ,"1,162,000          "
23,24          ,Missouri          ,7.57          ,"351,000          "
24,25          ,South Carolina          ,7.60          ,"293,000          "
25,26          ,Ohio          ,7.64          ,"680,000          "
26,27          ,Idaho          ,7.76          ,"99,000          "
27,28          ,Nebraska          ,8.01          ,"114,000          "
28,29          ,Arkansas          ,8.02          ,"181,000          "
29,30          ,California          ,8.12          ,"2,437,000          "
30,31          ,Illinois          ,8.16          ,"793,000          "
31,32          ,Washington          ,8.53          ,"487,000          "
32,33          ,Oklahoma          ,8.54          ,"248,000          "
33,34          ,Wisconsin          ,8.68          ,"387,000          "
34,35          ,Louisiana          ,8.69          ,"301,000          "
35,36          ,Delaware          ,8.76          ,"65,000          "
36,37          ,North Dakota          ,8.79          ,"50,000          "
37,38          ,Rhode Island          ,8.80          ,"74,000          "
38,39          ,Connecticut          ,8.82          ,"246,000          "
39,40          ,Nevada          ,9.00          ,"206,000          "
40,41          ,New Hampshire          ,9.09          ,"98,000          "
41,42          ,Iowa          ,9.13          ,"217,000          "
42,43          ,South Dakota          ,9.17          ,"59,000          "
43,44          ,Maine          ,9.27          ,"99,000          "
44,45          ,Massachusetts          ,9.34          ,"508,000          "
45,46          ,Montana          ,9.41          ,"76,000          "
46,47          ,Alaska          ,9.76          ,"51,000          "
47,48          ,Oregon          ,9.94          ,"323,000          "
48,49          ,Vermont          ,10.51          ,"53,000          "
49,50          ,Colorado          ,11.90          ,"511,000          "
50,51          ,District of Columbia          ,13.01          ,"73,000          "
51,52          ,National          ,7.67          ,"19,026,000          "
