,Rank,State,Percentage,Number
0,01          ,New Jersey          ,3.47          ,"239,000          "
1,02          ,New York          ,3.63          ,"558,000          "
2,03          ,Texas          ,3.66          ,"756,000          "
3,04          ,Florida          ,3.67          ,"610,000          "
4,05          ,Illinois          ,3.87          ,"376,000          "
5,06          ,Georgia          ,4.03          ,"314,000          "
6,07          ,Maryland          ,4.07          ,"188,000          "
7,08          ,California          ,4.10          ,"1,232,000          "
8,09          ,Michigan          ,4.13          ,"319,000          "
9,10          ,Virginia          ,4.16          ,"267,000          "
10,11          ,District of Columbia          ,4.17          ,"23,000          "
11,12          ,Pennsylvania          ,4.17          ,"416,000          "
12,13          ,South Dakota          ,4.21          ,"27,000          "
13,14          ,New Mexico          ,4.25          ,"67,000          "
14,15          ,Nebraska          ,4.29          ,"61,000          "
15,16          ,Arizona          ,4.43          ,"237,000          "
16,17          ,Alabama          ,4.45          ,"165,000          "
17,18          ,Tennessee          ,4.48          ,"230,000          "
18,19          ,Connecticut          ,4.48          ,"125,000          "
19,20          ,Oklahoma          ,4.53          ,"132,000          "
20,21          ,North Carolina          ,4.57          ,"358,000          "
21,22          ,Louisiana          ,4.57          ,"159,000          "
22,23          ,Minnesota          ,4.59          ,"195,000          "
23,24          ,Hawaii          ,4.59          ,"49,000          "
24,25          ,Kentucky          ,4.65          ,"157,000          "
25,26          ,Nevada          ,4.65          ,"107,000          "
26,27          ,Rhode Island          ,4.66          ,"39,000          "
27,28          ,Arkansas          ,4.71          ,"106,000          "
28,29          ,Missouri          ,4.72          ,"219,000          "
29,30          ,Maine          ,4.81          ,"52,000          "
30,31          ,Mississippi          ,4.82          ,"107,000          "
31,32          ,Kansas          ,4.82          ,"103,000          "
32,33          ,South Carolina          ,4.90          ,"189,000          "
33,34          ,New Hampshire          ,4.91          ,"53,000          "
34,35          ,Massachusetts          ,4.92          ,"268,000          "
35,36          ,Wyoming          ,5.04          ,"22,000          "
36,37          ,Delaware          ,5.06          ,"38,000          "
37,38          ,North Dakota          ,5.11          ,"29,000          "
38,39          ,Wisconsin          ,5.17          ,"231,000          "
39,40          ,Ohio          ,5.18          ,"461,000          "
40,41          ,Montana          ,5.21          ,"42,000          "
41,42          ,Vermont          ,5.22          ,"26,000          "
42,43          ,Indiana          ,5.23          ,"262,000          "
43,44          ,West Virginia          ,5.26          ,"75,000          "
44,45          ,Washington          ,5.30          ,"303,000          "
45,46          ,Oregon          ,5.36          ,"175,000          "
46,47          ,Iowa          ,5.40          ,"129,000          "
47,48          ,Idaho          ,5.45          ,"69,000          "
48,49          ,Colorado          ,5.51          ,"237,000          "
49,50          ,Alaska          ,5.85          ,"31,000          "
50,51          ,Utah          ,6.47          ,"141,000          "
51,52          ,National          ,4.33          ,"107,700          "
