,Rank,State,Percentage,Number
0,01          ,Vermont          ,42.8          ,45000          
1,02          ,Arkansas          ,47.5          ,221000          
2,03          ,Rhode Island          ,49          ,89000          
3,04          ,Wisconsin          ,49.2          ,412000          
4,05          ,Massachusetts          ,49.5          ,597000          
5,06          ,Delaware          ,49.7          ,75000          
6,07          ,Iowa          ,49.8          ,231000          
7,08          ,Maine          ,49.9          ,114000          
8,09          ,Ohio          ,50.7          ,978000          
9,10          ,Kentucky          ,50.9          ,392000          
10,11          ,Colorado          ,50.9          ,475000          
11,12          ,Kansas          ,51.1          ,213000          
12,13          ,Utah          ,51.2          ,294000          
13,14          ,South Carolina          ,51.4          ,349000          
14,15          ,Tennessee          ,51.7          ,463000          
15,16          ,New Hampshire          ,51.9          ,116000          
16,17          ,West Virginia          ,52.2          ,193000          
17,18          ,District of Columbia          ,52.2          ,68000          
18,19          ,Minnesota          ,52.6          ,416000          
19,20          ,Arizona          ,52.7          ,535000          
20,21          ,Pennsylvania          ,53          ,953000          
21,22          ,Nebraska          ,53          ,128000          
22,23          ,Washington          ,53.5          ,704000          
23,24          ,Idaho          ,53.5          ,177000          
24,25          ,Michigan          ,53.8          ,779000          
25,26          ,Connecticut          ,53.9          ,287000          
26,27          ,Montana          ,54.2          ,89000          
27,28          ,Virginia          ,54.5          ,589000          
28,29          ,North Dakota          ,54.5          ,56000          
29,30          ,South Dakota          ,54.8          ,57000          
30,31          ,Missouri          ,55.3          ,576000          
31,32          ,Illinois          ,55.8          ,946000          
32,33          ,Indiana          ,55.9          ,653000          
33,34          ,North Carolina          ,56.5          ,833000          
34,35          ,New Mexico          ,56.6          ,167000          
35,36          ,Alabama          ,56.7          ,463000          
36,37          ,Mississippi          ,57.7          ,247000          
37,38          ,Oklahoma          ,58.9          ,340000          
38,39          ,Maryland          ,59.1          ,459000          
39,40          ,Oregon          ,59.3          ,442000          
40,41          ,Texas          ,59.6          ,1960000          
41,42          ,New Jersey          ,60          ,644000          
42,43          ,New York          ,60.3          ,1655000          
43,44          ,Nevada          ,60.3          ,282000          
44,45          ,Louisiana          ,62          ,459000          
45,46          ,Florida          ,63          ,1816000          
46,47          ,Wyoming          ,64.8          ,60000          
47,48          ,Georgia          ,64.9          ,888000          
48,49          ,California          ,65          ,3620000          
49,50          ,Alaska          ,65.5          ,70000          
50,51          ,Hawaii          ,65.8          ,124000          
51,52          ,National          ,57          ,"267,970          "
