,Rank,State,Percentage,Number
0,01          ,Hawaii          ,12          ,23000          
1,02          ,Alabama          ,18.7          ,153000          
2,03          ,Texas          ,19.9          ,655000          
3,04          ,Wyoming          ,19.9          ,18000          
4,05          ,Minnesota          ,20.7          ,163000          
5,06          ,New Mexico          ,20.8          ,61000          
6,07          ,Tennessee          ,20.9          ,188000          
7,08          ,Louisiana          ,21          ,155000          
8,09          ,New York          ,21.4          ,585000          
9,10          ,Massachusetts          ,21.6          ,263000          
10,11          ,Florida          ,21.9          ,633000          
11,12          ,Ohio          ,22.1          ,427000          
12,13          ,Idaho          ,22.1          ,73000          
13,14          ,Vermont          ,22.5          ,24000          
14,15          ,California          ,22.8          ,1272000          
15,16          ,Illinois          ,22.9          ,388000          
16,17          ,West Virginia          ,22.9          ,84000          
17,18          ,Delaware          ,23          ,35000          
18,19          ,Georgia          ,23.1          ,317000          
19,20          ,North Dakota          ,23.3          ,24000          
20,21          ,Oklahoma          ,23.5          ,136000          
21,22          ,Washington          ,23.7          ,310000          
22,23          ,Mississippi          ,23.8          ,102000          
23,24          ,Indiana          ,23.9          ,281000          
24,25          ,Michigan          ,24.4          ,353000          
25,26          ,New Jersey          ,24.4          ,262000          
26,27          ,Alaska          ,24.4          ,26000          
27,28          ,Kentucky          ,24.5          ,189000          
28,29          ,Montana          ,24.6          ,41000          
29,30          ,Maine          ,24.8          ,57000          
30,31          ,New Hampshire          ,24.8          ,55000          
31,32          ,Wisconsin          ,24.9          ,209000          
32,33          ,Maryland          ,25.2          ,196000          
33,34          ,Connecticut          ,25.4          ,135000          
34,35          ,Iowa          ,25.5          ,117000          
35,36          ,Arizona          ,25.8          ,259000          
36,37          ,Arkansas          ,26          ,122000          
37,38          ,Missouri          ,26.1          ,272000          
38,39          ,Nevada          ,26.1          ,122000          
39,40          ,Nebraska          ,26.2          ,63000          
40,41          ,South Dakota          ,26.4          ,28000          
41,42          ,North Carolina          ,26.5          ,391000          
42,43          ,South Carolina          ,26.6          ,181000          
43,44          ,Pennsylvania          ,26.8          ,480000          
44,45          ,Rhode Island          ,27.9          ,50000          
45,46          ,Colorado          ,28.2          ,263000          
46,47          ,Virginia          ,28.6          ,309000          
47,48          ,District of Columbia          ,29.4          ,38000          
48,49          ,Utah          ,30.1          ,172000          
49,50          ,Oregon          ,30.2          ,225000          
50,51          ,Kansas          ,31.6          ,132000          
51,52          ,National          ,23.6          ,"111,190          "
