,Rank,State,Percentage,Number
0,01          ,District of Columbia          ,17.10          ,8373          
1,02          ,Iowa          ,17.54          ,37774          
2,03          ,Hawaii          ,17.63          ,16639          
3,04          ,Massachusetts          ,18.56          ,109857          
4,05          ,Vermont          ,19.02          ,9542          
5,06          ,New York          ,20.97          ,314383          
6,07          ,Delaware          ,20.98          ,18284          
7,08          ,Ohio          ,21.02          ,236528          
8,09          ,Connecticut          ,21.61          ,53913          
9,10          ,Pennsylvania          ,22.48          ,277857          
10,11          ,Montana          ,22.85          ,20088          
11,12          ,North Dakota          ,23.74          ,12428          
12,13          ,Minnesota          ,24.20          ,91135          
13,14          ,Maine          ,24.37          ,33492          
14,15          ,Washington          ,24.84          ,141746          
15,16          ,Michigan          ,25.18          ,252279          
16,17          ,New Jersey          ,25.19          ,177138          
17,18          ,Nevada          ,25.27          ,76372          
18,19          ,Rhode Island          ,25.71          ,26383          
19,20          ,Kentucky          ,25.85          ,137755          
20,21          ,West Virginia          ,25.99          ,65433          
21,22          ,Oregon          ,26.03          ,108294          
22,23          ,New Hampshire          ,26.91          ,28858          
23,24          ,California          ,27.05          ,796447          
24,25          ,Indiana          ,27.10          ,157334          
25,26          ,Arizona          ,27.17          ,153262          
26,27          ,Wyoming          ,27.44          ,12362          
27,28          ,Colorado          ,27.45          ,88135          
28,29          ,Maryland          ,27.45          ,111740          
29,30          ,Louisiana          ,28.08          ,160506          
30,31          ,Oklahoma          ,28.18          ,115914          
31,32          ,Wisconsin          ,28.20          ,119187          
32,33          ,New Mexico          ,28.23          ,54533          
33,34          ,South Dakota          ,28.36          ,17869          
34,35          ,Illinois          ,29.66          ,249140          
35,36          ,Kansas          ,30.27          ,70938          
36,37          ,Alaska          ,30.90          ,17348          
37,38          ,Idaho          ,31.04          ,43794          
38,39          ,Nebraska          ,31.66          ,39724          
39,40          ,Tennessee          ,31.86          ,245411          
40,41          ,Utah          ,31.92          ,75977          
41,42          ,Missouri          ,32.87          ,190827          
42,43          ,South Carolina          ,33.75          ,179775          
43,44          ,Arkansas          ,34.16          ,111986          
44,45          ,Virginia          ,34.24          ,223528          
45,46          ,Texas          ,34.57          ,690102          
46,47          ,Mississippi          ,35.20          ,130909          
47,48          ,North Carolina          ,35.23          ,343530          
48,49          ,Florida          ,35.36          ,754413          
49,50          ,Alabama          ,36.70          ,212868          
50,51          ,Georgia          ,41.92          ,410646          
51,52          ,National          ,28.69          ,"815,377          "
