,Rank,State,Percentage,Number
0,01          ,Vermont          , , 
1,02          ,Massachusetts          , , 
2,03          ,Maine          , , 
3,04          ,District of Columbia          , , 
4,05          ,Delaware          , , 
5,06          ,Minnesota          , , 
6,07          ,Wisconsin          , , 
7,08          ,Rhode Island          , , 
8,09          ,Ohio          , , 
9,10          ,New Hampshire          , , 
10,11          ,Maryland          , , 
11,12          ,Pennsylvania          , , 
12,13          ,Connecticut          , , 
13,14          ,Hawaii          , , 
14,15          ,Iowa          , , 
15,16          ,Washington          , , 
16,17          ,Michigan          , , 
17,18          ,Kentucky          , , 
18,19          ,Montana          , , 
19,20          ,New York          , , 
20,21          ,Oregon          , , 
21,22          ,South Dakota          , , 
22,23          ,New Jersey          , , 
23,24          ,North Dakota          , , 
24,25          ,New Mexico          , , 
25,26          ,Indiana          , , 
26,27          ,Louisiana          , , 
27,28          ,Illinois          , , 
28,29          ,Nebraska          , , 
29,30          ,West Virginia          , , 
30,31          ,Colorado          , , 
31,32          ,Utah          , , 
32,33          ,Oklahoma          , , 
33,34          ,California          , , 
34,35          ,Idaho          , , 
35,36          ,Kansas          , , 
36,37          ,Alaska          , , 
37,38          ,Wyoming          , , 
38,39          ,Virginia          , , 
39,40          ,Arizona          , , 
40,41          ,Missouri          , , 
41,42          ,Arkansas          , , 
42,43          ,Tennessee          , , 
43,44          ,North Carolina          , , 
44,45          ,South Carolina          , , 
45,46          ,Nevada          , , 
46,47          ,Alabama          , , 
47,48          ,Florida          , , 
48,49          ,Mississippi          , , 
49,50          ,Texas          , , 
50,51          ,Georgia          , , 
