,Rank,State,Percentage,Number
0,01          ,Vermont          , , 
1,02          ,Pennsylvania          , , 
2,03          ,Massachusetts          , , 
3,04          ,Maryland          , , 
4,05          ,New Jersey          , , 
5,06          ,New York          , , 
6,07          ,Minnesota          , , 
7,08          ,Hawaii          , , 
8,09          ,District of Columbia          , , 
9,10          ,Delaware          , , 
10,11          ,Ohio          , , 
11,12          ,Rhode Island          , , 
12,13          ,Connecticut          , , 
13,14          ,Maine          , , 
14,15          ,Michigan          , , 
15,16          ,South Dakota          , , 
16,17          ,Kentucky          , , 
17,18          ,New Hampshire          , , 
18,19          ,Wisconsin          , , 
19,20          ,Nebraska          , , 
20,21          ,Louisiana          , , 
21,22          ,Illinois          , , 
22,23          ,Iowa          , , 
23,24          ,North Dakota          , , 
24,25          ,California          , , 
25,26          ,Virginia          , , 
26,27          ,Texas          , , 
27,28          ,Tennessee          , , 
28,29          ,Kansas          , , 
29,30          ,Montana          , , 
30,31          ,Washington          , , 
31,32          ,Mississippi          , , 
32,33          ,Indiana          , , 
33,34          ,New Mexico          , , 
34,35          ,Florida          , , 
35,36          ,Alabama          , , 
36,37          ,Georgia          , , 
37,38          ,Missouri          , , 
38,39          ,West Virginia          , , 
39,40          ,Arizona          , , 
40,41          ,North Carolina          , , 
41,42          ,Arkansas          , , 
42,43          ,South Carolina          , , 
43,44          ,Wyoming          , , 
44,45          ,Oklahoma          , , 
45,46          ,Utah          , , 
46,47          ,Colorado          , , 
47,48          ,Oregon          , , 
48,49          ,Alaska          , , 
49,50          ,Idaho          , , 
50,51          ,Nevada          , , 
