,Rank,State,Percentage,Number
0,01          ,New Jersey          , , 
1,02          ,Texas          , , 
2,03          ,New York          , , 
3,04          ,Pennsylvania          , , 
4,05          ,Georgia          , , 
5,06          ,Maryland          , , 
6,07          ,Mississippi          , , 
7,08          ,Florida          , , 
8,09          ,Tennessee          , , 
9,10          ,Hawaii          , , 
10,11          ,Alabama          , , 
11,12          ,Virginia          , , 
12,13          ,Nebraska          , , 
13,14          ,California          , , 
14,15          ,South Dakota          , , 
15,16          ,Minnesota          , , 
16,17          ,South Carolina          , , 
17,18          ,Louisiana          , , 
18,19          ,Illinois          , , 
19,20          ,Connecticut          , , 
20,21          ,Michigan          , , 
21,22          ,Kansas          , , 
22,23          ,Kentucky          , , 
23,24          ,North Carolina          , , 
24,25          ,Delaware          , , 
25,26          ,North Dakota          , , 
26,27          ,Ohio          , , 
27,28          ,Rhode Island          , , 
28,29          ,Missouri          , , 
29,30          ,Massachusetts          , , 
30,31          ,Arkansas          , , 
31,32          ,Arizona          , , 
32,33          ,New Hampshire          , , 
33,34          ,District of Columbia          , , 
34,35          ,Wyoming          , , 
35,36          ,Iowa          , , 
36,37          ,Indiana          , , 
37,38          ,New Mexico          , , 
38,39          ,Wisconsin          , , 
39,40          ,Oklahoma          , , 
40,41          ,West Virginia          , , 
41,42          ,Montana          , , 
42,43          ,Nevada          , , 
43,44          ,Alaska          , , 
44,45          ,Maine          , , 
45,46          ,Washington          , , 
46,47          ,Utah          , , 
47,48          ,Colorado          , , 
48,49          ,Idaho          , , 
49,50          ,Vermont          , , 
50,51          ,Oregon          , , 
