,Rank,State,Percentage,Number
0,01          ,Massachusetts          , ,160:1          
1,02          ,Oregon          , ,190:1          
2,03          ,District of Columbia          , ,210:1          
3,04          ,Maine          , ,210:1          
4,05          ,Vermont          , ,220:1          
5,06          ,Alaska          , ,230:1          
6,07          ,Rhode Island          , ,240:1          
7,08          ,Connecticut          , ,250:1          
8,09          ,Oklahoma          , ,250:1          
9,10          ,New Mexico          , ,260:1          
10,11          ,Washington          , ,270:1          
11,12          ,California          , ,280:1          
12,13          ,Colorado          , ,280:1          
13,14          ,Utah          , ,300:1          
14,15          ,Wyoming          , ,300:1          
15,16          ,Montana          , ,330:1          
16,17          ,New Hampshire          , ,330:1          
17,18          ,Louisiana          , ,340:1          
18,19          ,New York          , ,350:1          
19,20          ,Michigan          , ,370:1          
20,21          ,Delaware          , ,380:1          
21,22          ,Nebraska          , ,380:1          
22,23          ,Maryland          , ,390:1          
23,24          ,Hawaii          , ,400:1          
24,25          ,Minnesota          , ,400:1          
25,26          ,North Carolina          , ,410:1          
26,27          ,Ohio          , ,410:1          
27,28          ,Arkansas          , ,440:1          
28,29          ,Illinois          , ,440:1          
29,30          ,Kentucky          , ,440:1          
30,31          ,New Jersey          , ,450:1          
31,32          ,Nevada          , ,470:1          
32,33          ,Idaho          , ,480:1          
33,34          ,Pennsylvania          , ,480:1          
34,35          ,Wisconsin          , ,490:1          
35,36          ,Kansas          , ,510:1          
36,37          ,Missouri          , ,510:1          
37,38          ,North Dakota          , ,530:1          
38,39          ,South Dakota          , ,550:1          
39,40          ,South Carolina          , ,570:1          
40,41          ,Virginia          , ,570:1          
41,42          ,Florida          , ,620:1          
42,43          ,Indiana          , ,620:1          
43,44          ,Mississippi          , ,630:1          
44,45          ,Iowa          , ,640:1          
45,46          ,Tennessee          , ,660:1          
46,47          ,Georgia          , ,730:1          
47,48          ,Arizona          , ,750:1          
48,49          ,West Virginia          , ,770:1          
49,50          ,Texas          , ,880:1          
50,51          ,Alabama          , ,990:1          
