,Rank,State,Percentage,Number
0,01          ,Vermont          ,0.6          ,0          
1,02          ,Massachusetts          ,1.2          ,4000          
2,03          ,New Hampshire          ,2.5          ,1000          
3,04          ,Connecticut          ,3.3          ,5000          
4,05          ,Maine          ,3.4          ,2000          
5,06          ,New Jersey          ,4          ,14000          
6,07          ,District of Columbia          ,4.6          ,1000          
7,08          ,Washington          ,5.2          ,16000          
8,09          ,Rhode Island          ,5.3          ,2000          
9,10          ,Montana          ,5.4          ,2000          
10,11          ,South Dakota          ,5.4          ,2000          
11,12          ,Michigan          ,5.5          ,23000          
12,13          ,Wisconsin          ,5.5          ,16000          
13,14          ,Ohio          ,5.9          ,26000          
14,15          ,Missouri          ,5.9          ,14000          
15,16          ,Alabama          ,5.9          ,7000          
16,17          ,Pennsylvania          ,6.1          ,29000          
17,18          ,Georgia          ,6.5          ,23000          
18,19          ,Virginia          ,6.6          ,21000          
19,20          ,Oregon          ,6.7          ,10000          
20,21          ,Delaware          ,6.9          ,3000          
21,22          ,Indiana          ,7.1          ,22000          
22,23          ,Illinois          ,7.2          ,34000          
23,24          ,Maryland          ,7.2          ,18000          
24,25          ,West Virginia          ,7.2          ,4000          
25,26          ,California          ,7.5          ,100000          
26,27          ,Minnesota          ,7.5          ,20000          
27,28          ,Mississippi          ,7.5          ,6000          
28,29          ,Iowa          ,7.5          ,10000          
29,30          ,Louisiana          ,7.6          ,10000          
30,31          ,New Mexico          ,7.8          ,4000          
31,32          ,Utah          ,7.8          ,16000          
32,33          ,Oklahoma          ,7.9          ,11000          
33,34          ,Kansas          ,7.9          ,9000          
34,35          ,New York          ,8.3          ,49000          
35,36          ,Colorado          ,8.3          ,17000          
36,37          ,Hawaii          ,9.2          ,3000          
37,38          ,Florida          ,9.4          ,52000          
38,39          ,North Carolina          ,10          ,33000          
39,40          ,Alaska          ,10.3          ,2000          
40,41          ,Kentucky          ,11          ,17000          
41,42          ,Texas          ,11.5          ,108000          
42,43          ,Wyoming          ,12          ,3000          
43,44          ,Arizona          ,12.1          ,32000          
44,45          ,Nevada          ,12.6          ,13000          
45,46          ,Nebraska          ,12.6          ,10000          
46,47          ,Idaho          ,12.7          ,10000          
47,48          ,North Dakota          ,13.5          ,5000          
48,49          ,Tennessee          ,13.5          ,27000          
49,50          ,Arkansas          ,14.4          ,13000          
50,51          ,South Carolina          ,14.8          ,23000          
51,52          ,National          ,7.8          ,901000          
