,Rank,State,Percentage,Number
0,01          ,Maine          ,50          ,5000          
1,02          ,Maryland          ,49.2          ,21000          
2,03          ,Vermont          ,45.4          ,2000          
3,04          ,Delaware          ,41.5          ,2000          
4,05          ,Rhode Island          ,41.2          ,3000          
5,06          ,Wisconsin          ,40.4          ,23000          
6,07          ,Oregon          ,37.9          ,14000          
7,08          ,Massachusetts          ,37.7          ,15000          
8,09          ,District of Columbia          ,37.3          ,1000          
9,10          ,Pennsylvania          ,37.1          ,23000          
10,11          ,Wyoming          ,36.3          ,2000          
11,12          ,Ohio          ,36          ,28000          
12,13          ,Nebraska          ,35.9          ,5000          
13,14          ,Idaho          ,35.8          ,6000          
14,15          ,New Hampshire          ,34.9          ,3000          
15,16          ,Kentucky          ,34.2          ,10000          
16,17          ,Minnesota          ,33.7          ,13000          
17,18          ,North Dakota          ,33          ,1000          
18,19          ,New Jersey          ,32.5          ,16000          
19,20          ,Louisiana          ,32          ,9000          
20,21          ,Kansas          ,31.1          ,7000          
21,22          ,Arkansas          ,30          ,7000          
22,23          ,Alaska          ,29.9          ,2000          
23,24          ,Michigan          ,29.8          ,24000          
24,25          ,Montana          ,29.3          ,2000          
25,26          ,South Dakota          ,29.2          ,1000          
26,27          ,Iowa          ,28.8          ,7000          
27,28          ,South Carolina          ,28.3          ,9000          
28,29          ,Hawaii          ,28.3          ,2000          
29,30          ,West Virginia          ,27.8          ,4000          
30,31          ,Tennessee          ,27.3          ,12000          
31,32          ,Washington          ,26.7          ,13000          
32,33          ,Indiana          ,26.1          ,16000          
33,34          ,Virginia          ,26.1          ,16000          
34,35          ,Alabama          ,25.9          ,6000          
35,36          ,Texas          ,25          ,54000          
36,37          ,Illinois          ,25          ,26000          
37,38          ,Arizona          ,24.7          ,15000          
38,39          ,California          ,24.6          ,59000          
39,40          ,Utah          ,24.5          ,8000          
40,41          ,Oklahoma          ,23.5          ,8000          
41,42          ,New Mexico          ,22.6          ,5000          
42,43          ,New York          ,21.9          ,22000          
43,44          ,North Carolina          ,21.9          ,21000          
44,45          ,Connecticut          ,21.6          ,5000          
45,46          ,Colorado          ,21.5          ,8000          
46,47          ,Florida          ,19.7          ,24000          
47,48          ,Georgia          ,19.2          ,15000          
48,49          ,Missouri          ,19          ,9000          
49,50          ,Mississippi          ,14.9          ,2000          
50,51          ,Nevada          ,11.2          ,3000          
51,52          ,National          ,27.3          ,614000          
