,Rank,State,Percentage,Number
0,01          ,Vermont          ,30.41          ,2233          
1,02          ,Minnesota          ,20.69          ,16510          
2,03          ,Massachusetts          ,19.51          ,16935          
3,04          ,Wisconsin          ,16.18          ,*          
4,05          ,Pennsylvania          ,15.76          ,25166          
5,06          ,Maine          ,14.35          ,2328          
6,07          ,Indiana          ,13.41          ,12838          
7,08          ,Iowa          ,13.31          ,5896          
8,09          ,New Hampshire          ,12.77          ,2095          
9,10          ,Rhode Island          ,12.38          ,1615          
10,11          ,District of Columbia          ,12.32          ,827          
11,12          ,Connecticut          ,11.94          ,5691          
12,13          ,North Dakota          ,11.85          ,1183          
13,14          ,Illinois          ,10.19          ,18237          
14,15          ,Nebraska          ,10.06          ,2846          
15,16          ,Ohio          ,9.97          ,15377          
16,17          ,South Dakota          ,9.89          ,1213          
17,18          ,Oregon          ,9.81          ,5286          
18,19          ,Delaware          ,9.25          ,1152          
19,20          ,New York          ,9.15          ,22553          
20,21          ,Missouri          ,8.66          ,7072          
21,22          ,Michigan          ,8.45          ,11458          
22,23          ,Virginia          ,8.38          ,9782          
23,24          ,Maryland          ,7.64          ,6107          
24,25          ,Mississippi          ,7.62          ,3326          
25,26          ,Arizona          ,7.61          ,7742          
26,27          ,Kentucky          ,7.45          ,4524          
27,28          ,Oklahoma          ,6.89          ,4142          
28,29          ,Colorado          ,6.88          ,5596          
29,30          ,Wyoming          ,6.72          ,579          
30,31          ,Texas          ,6.60          ,31519          
31,32          ,Montana          ,6.50          ,881          
32,33          ,Georgia          ,6.45          ,10286          
33,34          ,Alaska          ,6.26          ,745          
34,35          ,New Mexico          ,6.16          ,1853          
35,36          ,New Jersey          ,5.98          ,7485          
36,37          ,Hawaii          ,5.74          ,947          
37,38          ,Florida          ,5.68          ,14604          
38,39          ,Kansas          ,5.53          ,2436          
39,40          ,Washington          ,5.25          ,5324          
40,41          ,Idaho          ,4.95          ,1372          
41,42          ,West Virginia          ,4.80          ,1133          
42,43          ,Nevada          ,4.43          ,1959          
43,44          ,California          ,4.42          ,25118          
44,45          ,Tennessee          ,3.76          ,3381          
45,46          ,North Carolina          ,3.72          ,5275          
46,47          ,Utah          ,3.17          ,1918          
47,48          ,South Carolina          ,3.04          ,2112          
48,49          ,Louisiana          ,2.70          ,1715          
49,50          ,Arkansas          ,2.42          ,1070          
50,51          ,Alabama          ,2.09          ,1406          
51,52          ,National          ,7.57          ,344473          
