,Rank,State,Percentage,Number
0,01          ,Utah          ,3.16          ,"10,000          "
1,02          ,Georgia          ,3.20          ,"28,000          "
2,03          ,Texas          ,3.24          ,"80,000          "
3,04          ,Maryland          ,3.26          ,"15,000          "
4,05          ,Mississippi          ,3.30          ,"8,000          "
5,06          ,Indiana          ,3.37          ,"18,000          "
6,07          ,New York          ,3.41          ,"47,000          "
7,08          ,New Jersey          ,3.42          ,"23,000          "
8,09          ,Pennsylvania          ,3.42          ,"31,000          "
9,10          ,Virginia          ,3.56          ,"22,000          "
10,11          ,North Carolina          ,3.57          ,"28,000          "
11,12          ,Louisiana          ,3.58          ,"13,000          "
12,13          ,Kansas          ,3.63          ,"9,000          "
13,14          ,Alabama          ,3.63          ,"14,000          "
14,15          ,Michigan          ,3.64          ,"28,000          "
15,16          ,Missouri          ,3.69          ,"17,000          "
16,17          ,Nebraska          ,3.69          ,"6,000          "
17,18          ,Kentucky          ,3.77          ,"13,000          "
18,19          ,Minnesota          ,3.86          ,"17,000          "
19,20          ,Connecticut          ,3.86          ,"11,000          "
20,21          ,Tennessee          ,3.91          ,"20,000          "
21,22          ,Massachusetts          ,3.92          ,"19,000          "
22,23          ,South Carolina          ,3.95          ,"15,000          "
23,24          ,Idaho          ,3.97          ,"6,000          "
24,25          ,Ohio          ,3.97          ,"36,000          "
25,26          ,Hawaii          ,4.04          ,"4,000          "
26,27          ,California          ,4.04          ,"122,000          "
27,28          ,Illinois          ,4.04          ,"40,000          "
28,29          ,Rhode Island          ,4.05          ,"3,000          "
29,30          ,Wisconsin          ,4.07          ,"18,000          "
30,31          ,Arizona          ,4.08          ,"23,000          "
31,32          ,West Virginia          ,4.08          ,"5,000          "
32,33          ,Arkansas          ,4.11          ,"10,000          "
33,34          ,Delaware          ,4.15          ,"3,000          "
34,35          ,Oklahoma          ,4.19          ,"13,000          "
35,36          ,Iowa          ,4.21          ,"10,000          "
36,37          ,Florida          ,4.34          ,"62,000          "
37,38          ,Alaska          ,4.37          ,"3,000          "
38,39          ,North Dakota          ,4.38          ,"2,000          "
39,40          ,New Hampshire          ,4.41          ,"4,000          "
40,41          ,Maine          ,4.59          ,"4,000          "
41,42          ,Wyoming          ,4.63          ,"2,000          "
42,43          ,Oregon          ,4.65          ,"14,000          "
43,44          ,South Dakota          ,4.78          ,"3,000          "
44,45          ,New Mexico          ,4.80          ,"8,000          "
45,46          ,Washington          ,5.01          ,"27,000          "
46,47          ,Nevada          ,5.09          ,"12,000          "
47,48          ,Colorado          ,5.12          ,"22,000          "
48,49          ,Montana          ,5.18          ,"4,000          "
49,50          ,District of Columbia          ,5.42          ,"2,000          "
50,51          ,Vermont          ,5.61          ,"2,000          "
51,52          ,National          ,3.83          ,"954,000          "
