,Rank,State,Percentage,Number
0,01          ,Vermont          , , 
1,02          ,Pennsylvania          , , 
2,03          ,District of Columbia          , , 
3,04          ,Maryland          , , 
4,05          ,Massachusetts          , , 
5,06          ,New Jersey          , , 
6,07          ,Rhode Island          , , 
7,08          ,Delaware          , , 
8,09          ,Maine          , , 
9,10          ,Minnesota          , , 
10,11          ,Ohio          , , 
11,12          ,New York          , , 
12,13          ,South Dakota          , , 
13,14          ,New Hampshire          , , 
14,15          ,Wisconsin          , , 
15,16          ,Louisiana          , , 
16,17          ,Connecticut          , , 
17,18          ,Mississippi          , , 
18,19          ,Kentucky          , , 
19,20          ,Virginia          , , 
20,21          ,Nebraska          , , 
21,22          ,Iowa          , , 
22,23          ,Hawaii          , , 
23,24          ,Alabama          , , 
24,25          ,North Dakota          , , 
25,26          ,Kansas          , , 
26,27          ,Michigan          , , 
27,28          ,Indiana          , , 
28,29          ,Georgia          , , 
29,30          ,Texas          , , 
30,31          ,Missouri          , , 
31,32          ,Utah          , , 
32,33          ,California          , , 
33,34          ,Tennessee          , , 
34,35          ,Washington          , , 
35,36          ,Illinois          , , 
36,37          ,Montana          , , 
37,38          ,Florida          , , 
38,39          ,West Virginia          , , 
39,40          ,Alaska          , , 
40,41          ,Oregon          , , 
41,42          ,Colorado          , , 
42,43          ,Wyoming          , , 
43,44          ,South Carolina          , , 
44,45          ,North Carolina          , , 
45,46          ,Oklahoma          , , 
46,47          ,Arkansas          , , 
47,48          ,Idaho          , , 
48,49          ,Arizona          , , 
49,50          ,New Mexico          , , 
50,51          ,Nevada          , , 
