,Rank,State,Percentage,Number
0,01          ,Mississippi          ,6.3          ,15000          
1,02          ,Alabama          ,6.4          ,23000          
2,03          ,District of Columbia          ,6.8          ,2000          
3,04          ,Pennsylvania          ,7.1          ,64000          
4,05          ,New York          ,7.8          ,105000          
5,06          ,South Dakota          ,8          ,5000          
6,07          ,New Jersey          ,8.1          ,54000          
7,08          ,Hawaii          ,8.5          ,8000          
8,09          ,North Dakota          ,8.5          ,4000          
9,10          ,Massachusetts          ,8.5          ,40000          
10,11          ,California          ,8.7          ,256000          
11,12          ,Colorado          ,8.7          ,36000          
12,13          ,New Hampshire          ,8.7          ,8000          
13,14          ,Connecticut          ,9          ,24000          
14,15          ,Nebraska          ,9          ,14000          
15,16          ,Ohio          ,9.1          ,79000          
16,17          ,Texas          ,9.2          ,219000          
17,18          ,Louisiana          ,9.2          ,33000          
18,19          ,Tennessee          ,9.2          ,46000          
19,20          ,Florida          ,9.3          ,128000          
20,21          ,Georgia          ,9.3          ,78000          
21,22          ,Delaware          ,9.3          ,6000          
22,23          ,Rhode Island          ,9.5          ,7000          
23,24          ,Kentucky          ,9.6          ,31000          
24,25          ,Iowa          ,9.8          ,23000          
25,26          ,Maryland          ,9.8          ,42000          
26,27          ,Minnesota          ,9.8          ,41000          
27,28          ,South Carolina          ,9.8          ,36000          
28,29          ,Kansas          ,9.9          ,23000          
29,30          ,Virginia          ,10.2          ,62000          
30,31          ,Washington          ,10.3          ,53000          
31,32          ,Montana          ,10.4          ,8000          
32,33          ,Missouri          ,10.4          ,47000          
33,34          ,Alaska          ,10.7          ,6000          
34,35          ,Arkansas          ,10.7          ,25000          
35,36          ,Vermont          ,10.7          ,4000          
36,37          ,Illinois          ,11          ,104000          
37,38          ,Michigan          ,11.3          ,84000          
38,39          ,Nevada          ,11.8          ,26000          
39,40          ,Utah          ,11.9          ,36000          
40,41          ,Wyoming          ,12          ,5000          
41,42          ,West Virginia          ,12.5          ,15000          
42,43          ,Arizona          ,12.5          ,66000          
43,44          ,North Carolina          ,12.6          ,98000          
44,45          ,Idaho          ,12.7          ,19000          
45,46          ,Indiana          ,12.7          ,66000          
46,47          ,Oklahoma          ,12.7          ,39000          
47,48          ,Oregon          ,13.1          ,37000          
48,49          ,New Mexico          ,13.1          ,21000          
49,50          ,Wisconsin          ,13.4          ,58000          
50,51          ,Maine          ,13.5          ,12000          
51,52          ,National          ,9.7          ,2343000          
