,Drug use disorders,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
1,United States,,"1.44 (1.37, 1.55)","1.82 (1.75, 1.90)","2.23 (2.13, 2.34)","3.11 (2.98, 3.26)","4.88 (4.69, 5.10)","7.78 (7.49, 8.08)","9.66 (9.31, 10.02)","10.37 (9.70, 10.86)","618.29 (526.82, 648.29)"
2,Alabama,1,"0.64 (0.55, 0.75)","0.89 (0.79, 1.01)","1.35 (1.20, 1.51)","2.07 (1.87, 2.29)","3.96 (3.66, 4.30)","7.01 (6.60, 7.45)","9.83 (9.27, 10.37)","11.87 (11.04, 12.62)","1749.00 (1455.87, 2085.04)"
3,"Autauga County, Alabama",1001,"0.67 (0.36, 1.14)","0.87 (0.50, 1.43)","1.33 (0.79, 2.11)","1.77 (1.09, 2.64)","2.97 (1.99, 4.21)","5.24 (3.74, 7.13)","6.88 (5.06, 9.02)","7.32 (5.17, 9.60)","998.81 (489.33, 2054.63)"
4,"Baldwin County, Alabama",1003,"0.70 (0.40, 1.11)","0.98 (0.61, 1.44)","1.66 (1.06, 2.36)","2.20 (1.46, 3.09)","4.55 (3.41, 6.03)","8.77 (7.00, 10.86)","11.94 (9.72, 14.23)","13.30 (11.24, 15.58)","1795.87 (1076.03, 3261.38)"
5,"Barbour County, Alabama",1005,"0.66 (0.33, 1.16)","0.76 (0.42, 1.22)","1.01 (0.55, 1.71)","1.44 (0.80, 2.42)","2.44 (1.43, 3.68)","4.20 (2.65, 6.29)","5.31 (3.46, 7.68)","5.40 (3.35, 8.04)","722.06 (321.17, 1668.35)"
6,"Bibb County, Alabama",1007,"0.53 (0.26, 0.95)","0.83 (0.47, 1.46)","1.48 (0.86, 2.34)","2.30 (1.40, 3.45)","4.13 (2.80, 5.76)","7.74 (5.51, 10.59)","10.97 (8.16, 14.28)","13.03 (9.76, 17.08)","2344.39 (1203.55, 4907.54)"
7,"Blount County, Alabama",1009,"0.46 (0.26, 0.76)","0.72 (0.43, 1.10)","1.21 (0.74, 1.81)","2.05 (1.37, 2.87)","4.01 (2.94, 5.36)","7.62 (5.81, 9.68)","11.75 (9.55, 14.33)","14.38 (11.55, 17.45)","3014.08 (1703.00, 5711.92)"
8,"Bullock County, Alabama",1011,"0.64 (0.26, 1.22)","0.79 (0.36, 1.48)","1.07 (0.46, 1.98)","1.42 (0.62, 2.76)","2.52 (1.15, 4.53)","4.71 (2.35, 7.93)","5.38 (2.83, 8.90)","5.63 (2.97, 9.63)","781.57 (333.64, 1938.79)"
9,"Butler County, Alabama",1013,"0.61 (0.31, 1.10)","0.76 (0.39, 1.28)","1.10 (0.57, 1.86)","1.58 (0.86, 2.66)","2.60 (1.49, 4.08)","4.64 (2.75, 6.90)","6.73 (4.19, 9.95)","6.45 (3.99, 9.53)","957.13 (429.44, 2021.49)"
10,"Calhoun County, Alabama",1015,"0.83 (0.48, 1.29)","1.01 (0.62, 1.50)","1.53 (0.97, 2.30)","2.18 (1.50, 3.05)","4.02 (2.90, 5.42)","7.55 (5.83, 9.49)","10.75 (8.60, 13.12)","11.51 (9.31, 14.22)","1293.80 (749.88, 2366.60)"
11,"Chambers County, Alabama",1017,"0.67 (0.35, 1.18)","0.97 (0.56, 1.59)","1.30 (0.73, 2.10)","1.94 (1.13, 3.04)","3.50 (2.25, 5.03)","6.32 (4.33, 8.90)","9.66 (6.84, 13.17)","8.65 (5.95, 11.83)","1200.14 (575.06, 2481.75)"
12,"Cherokee County, Alabama",1019,"0.63 (0.34, 1.05)","0.90 (0.51, 1.43)","1.44 (0.86, 2.32)","2.21 (1.35, 3.29)","4.13 (2.62, 5.97)","7.03 (4.98, 9.43)","10.35 (7.46, 13.91)","11.15 (8.10, 14.76)","1678.21 (952.17, 3136.50)"
13,"Chilton County, Alabama",1021,"0.80 (0.43, 1.34)","1.11 (0.65, 1.74)","1.79 (1.10, 2.64)","2.80 (1.85, 4.01)","4.79 (3.41, 6.41)","8.91 (6.74, 11.44)","13.52 (10.74, 16.63)","12.96 (10.08, 16.18)","1520.37 (835.65, 2890.57)"
