,State,City,Zip,Address,Phone,Name
0,Alabama,Abbeville,36310,403 Dothan Road,(800) 951-4357,Henry County Day Treatment
1,Alabama,Abbeville,36310,219 Dothan Road,(334) 585-5331,SpectraCare Henry County Clinic
2,Alabama,Andalusia,36420,19815 Bay Branch Road,(334) 222-2523,South Central Alabama CMHC
3,Alabama,Andalusia,36420,205 Academy Drive,(334) 428-5050,South Central Alabama MH Center Montezuma Complex
4,Alabama,Anniston,36207,331 East 8th Street,(256) 236-3403,Highland Health Systems
5,Alabama,Anniston,36207,400 East 10th Street,(256) 235-5121,Northeast Alabama Regional Med Ctr Behavioral Health
6,Alabama,Ashford,36312,1539 Sweetie Smith Road,(334) 691-8030,Cottonwood Specialized Care CRF (DMHF)
7,Alabama,Athens,35611,1307 East Elm Street,(256) 232-3661,MHCNCA Inc Athens Limestone Counseling Center
8,Alabama,Attalla,35954,425 5th Avenue NW,(256) 492-7800,Cherokee Etowah Dekalb CMHC
9,Alabama,Bay Minette,36507,1815 Hand Avenue,(251) 580-1770,North Baldwin Infirmary Senior Behavioral Health
10,Alabama,Bessemer,35022,975 9th Avenue SW,(205) 428-3495,Birmingham VAMC Bessemer Clinic
11,Alabama,Bessemer,35022,995 9th Avenue SW,(205) 481-7000,Medical West An Affiliate of the UAB Health System
12,Alabama,Birmingham,35233,700 19th Street South,(205) 933-8101,Birmingham VAMC Mental Hygiene (116A)
13,Alabama,Birmingham,35209,2010 Brookwood Medical Center Drive,(205) 877-1000,Brookwood Baptist Medical Center
14,Alabama,Birmingham,35210,2619 Commerce Boulevard,(205) 956-2000x233,Capitol Care South Adult Outpatient Services
15,Alabama,Birmingham,35233,1720 7th Avenue South,(205) 934-7008,CPM Outpatient Clinic Sparks Center
16,Alabama,Birmingham,35206,7744 1st Avenue South,(205) 836-6538,Eastlake Group Homes
17,Alabama,Birmingham,35235,129 East Park Circle,(205) 836-7283,Eastside CMHC
18,Alabama,Birmingham,35235,1002 2nd Avenue East,(205) 625-3882,Eastside CMHC Blount County CMHC
19,Alabama,Birmingham,35205,1401 20th Street South,(205) 510-2600,Gateway
20,Alabama,Birmingham,35201,5201 Airport Highway,(205) 510-2600,Gateway
21,Alabama,Birmingham,35242,150 Glenwood Lane,(205) 969-2880,Glenwood Inc Main Campus
22,Alabama,Birmingham,35211,701 Princeton Avenue SW,(205) 783-3650,Princeton Baptist Medical Center
23,Alabama,Birmingham,35218,2112 Avenue H,(205) 324-9822x7019,Rehabilitation Day Program Jasper House
24,Alabama,Birmingham,35205,908 20th Street South,(205) 934-4108,UAB Community Psychiatry Outpatient Clinic
25,Alabama,Birmingham,35233,1713 6th Avenue South,(205) 934-6054,UAB Department of Psychiatry Center for Psychiatric Medicine
26,Alabama,Butler,36904,401 Rogers Street,(205) 459-2612,West Alabama Mental Health Center Choctaw County Office
27,Alabama,Calera,35040,151 Hamilton Lane,(205) 668-4308,Hamilton Center
28,Alabama,Camden,36726,45 Camden Bypass,(334) 682-4499,Cahaba Center for Mental Health Wilcox County Satellite
29,Alabama,Centre,35960,200 Dean Buttram Senior Avenue,(256) 927-3601,Cherokee Etowah Dekalb CMHC Cherokee County Office
30,Alabama,Centre,35960,901 Edith Street,(256) 927-2687,Cherokee Etowah Dekalb CMHC White/Parker Home Specialized
31,Alabama,Chatom,36518,63 Dixie Youth Drive,(251) 847-2301,AltaPointe Health Systems Inc Community Counseling/Washington Cnty
32,Alabama,Childersburg,35044,151 9th Avenue NW,(256) 378-9026,Childersburg VA Clinic
33,Alabama,Clanton,35045,110 Medical Center Drive,(205) 755-5933,Clanton MI Outpatient
34,Alabama,Columbiana,35051,645 Crenshaw Road,(205) 484-9136,Magnolia Creek Treatment Center for Eating Disorders
35,Alabama,Cullman,35055,1909 Commerce Avenue NW,(256) 734-4688,WellStone Inc
36,Alabama,Daphne,36526,7400 Roper Lane,(251) 378-6500,East Pointe Hospital
37,Alabama,Decatur,35603,4110 U.S. Highway 31 South,(256) 260-1691,MHCNCA Inc Decatur/Morgan Counseling Center
38,Alabama,Decatur,35601,1315 13th Avenue SE,(256) 260-7306,MHCNCA Inc The Albany Clinic for Children
39,Alabama,Demopolis,36732,105 U.S. Highway 80 East,(334) 289-4000,Bryan W Whitfield Memorial Hosp Tombigbee Healthcare Authority
40,Alabama,Demopolis,36732,1100 South Cedar Avenue,(334) 287-2805,Tombigbee Outreach
41,Alabama,Demopolis,36732,1215 South Walnut Avenue,(334) 289-2410,West Alabama Mental Health Center
42,Alabama,Demopolis,36732,1401 U.S. Highway 80 East,(334) 217-0010,West Alabama Mental Health Center
43,Alabama,Demopolis,36732,1304 Old Springhill Road,(334) 289-3270,West Alabama Mental Health Center Springhill Home
