,State,City,Zip,Address,Phone
0,Alabama,Abbeville,36310,403 Dothan Road , (800) 951-4357 
1,Alabama,Abbeville,36310,219 Dothan Road , (334) 585-5331 
2,Alabama,Andalusia,36420,19815 Bay Branch Road , (334) 222-2523 
3,Alabama,Andalusia,36420,205 Academy Drive , (334) 428-5050 
4,Alabama,Anniston,36207,331 East 8th Street , (256) 236-3403 
5,Alabama,Anniston,36207,400 East 10th Street , (256) 235-5121 
6,Alabama,Ashford,36312,1539 Sweetie Smith Road , (334) 691-8030 
7,Alabama,Athens,35611,1307 East Elm Street , (256) 232-3661 
8,Alabama,Attalla,35954,425 5th Avenue NW , (256) 492-7800 
9,Alabama,Bay Minette,36507,1815 Hand Avenue , (251) 580-1770 
10,Alabama,Bessemer,35022,975 9th Avenue SW , (205) 428-3495 
11,Alabama,Bessemer,35022,995 9th Avenue SW , (205) 481-7000 
12,Alabama,Birmingham,35233,700 19th Street South , (205) 933-8101 
13,Alabama,Birmingham,35209,2010 Brookwood Medical Center Drive , (205) 877-1000 
14,Alabama,Birmingham,35210,2619 Commerce Boulevard , (205) 956-2000x233 
15,Alabama,Birmingham,35233,1720 7th Avenue South , (205) 934-7008 
16,Alabama,Birmingham,35206,7744 1st Avenue South , (205) 836-6538 
17,Alabama,Birmingham,35235,129 East Park Circle , (205) 836-7283 
18,Alabama,Birmingham,35235,1002 2nd Avenue East , (205) 625-3882 
19,Alabama,Birmingham,35205,1401 20th Street South , (205) 510-2600 
20,Alabama,Birmingham,35201,5201 Airport Highway , (205) 510-2600 
21,Alabama,Birmingham,35242,150 Glenwood Lane , (205) 969-2880 
22,Alabama,Birmingham,35211,701 Princeton Avenue SW , (205) 783-3650 
23,Alabama,Birmingham,35218,2112 Avenue H , (205) 324-9822x7019 
24,Alabama,Birmingham,35205,908 20th Street South , (205) 934-4108 
25,Alabama,Birmingham,35233,1713 6th Avenue South , (205) 934-6054 
26,Alabama,Butler,36904,401 Rogers Street , (205) 459-2612 
27,Alabama,Calera,35040,151 Hamilton Lane , (205) 668-4308 
28,Alabama,Camden,36726,45 Camden Bypass , (334) 682-4499 
29,Alabama,Centre,35960,200 Dean Buttram Senior Avenue , (256) 927-3601 
30,Alabama,Centre,35960,901 Edith Street , (256) 927-2687 
31,Alabama,Chatom,36518,63 Dixie Youth Drive , (251) 847-2301 
32,Alabama,Childersburg,35044,151 9th Avenue NW , (256) 378-9026 
33,Alabama,Clanton,35045,110 Medical Center Drive , (205) 755-5933 
34,Alabama,Columbiana,35051,645 Crenshaw Road , (205) 484-9136 
35,Alabama,Cullman,35055,1909 Commerce Avenue NW , (256) 734-4688 
36,Alabama,Daphne,36526,7400 Roper Lane , (251) 378-6500 
37,Alabama,Decatur,35603,4110 U.S. Highway 31 South , (256) 260-1691 
38,Alabama,Decatur,35601,1315 13th Avenue SE , (256) 260-7306 
39,Alabama,Demopolis,36732,105 U.S. Highway 80 East , (334) 289-4000 
40,Alabama,Demopolis,36732,1100 South Cedar Avenue , (334) 287-2805 
41,Alabama,Demopolis,36732,1215 South Walnut Avenue , (334) 289-2410 
42,Alabama,Demopolis,36732,1401 U.S. Highway 80 East , (334) 217-0010 
43,Alabama,Demopolis,36732,1304 Old Springhill Road , (334) 289-3270 
44,Alabama,Dothan,36303,3753 Ross Clark Circle , (334) 503-7819x7801 
45,Alabama,Dothan,36301,700 East Cottonwood Road , (334) 794-7373x237 
46,Alabama,Dothan,36301,1108 Ross Clark Circle , (334) 793-8111x5482 
47,Alabama,Dothan,36302,1672 Columbia Highway , (800) 951-4357 
